Name,GP,"PIM
DRAWN","PIM
TAKEN","PIM
(+/-)","PIM
(+/-) 
(60)","PIM
(60)","ALL SIT. 
GOALS","ALL SIT.
PRIMARY
ASSISTS",ALL SIT. SECONDARY ASSISTS,ALL SIT. POINTS,ALL SIT. PRIMARY POINTS,ALL SIT. POINTS (60),"ALL SIT. PRIMARY
POINTS (60)",5v5 GOALS,5v5 PRIMARY ASSISTS,"5v5 SECONDARY
 ASSISTS",5v5 POINTS,5v5 PRIMARY POINTS,5v5 POINTS (60),5v5 PRIMARY POINTS (60),(+/-),(+/-) (60),5v5 GF,5v5 GA,"CLOSE CORSI 
+","CLOSE CORSI 
-","CLOSE CORSI 
+/-","CLOSE CORSI 
+/- (60)","CORSI 
+","CORSI 
-","CORSI 
+/-","CORSI 
+/- 
60","CORSI 
+ 
(60)","CORSI 
- 
(60)","CORSI (+/-) 
%",iCF,"iCF 
(60)",iCF%,SHOTS,"SHOTS 
(60)","SHOOTING 
%",FOW,FOL,FO%,GAME SCORE
Conor Lamberti,14,4,6,-2,-0.329157904,0.987473713,2,2,3,7,4,1.152052665,0.658315809,1,2,1,4,3,0.991530675,0.743648007,6,0.987473713,12,2,0,0,0,#DIV/0!,273,245,28,6.940714728,67.6719686,60.73125387,52.7027027,67,16.60813881,24.54212454,21,3.456157996,0.095238095,0,0,#DIV/0!,0.869642857
Jon Carkeek,14,10,14,-4,-0.69683039,2.438906363,0,6,3,9,6,1.567868376,1.045245584,0,1,1,2,1,0.502687984,0.251343992,7,1.219453182,9,6,0,0,0,#DIV/0!,262,204,58,14.57795155,65.85212595,51.2741744,56.22317597,61,15.33198352,23.28244275,30,5.226227922,0,0,0,#DIV/0!,0.941071429
Brad Smelstor,14,2,14,-12,-2.44648318,2.854230377,1,1,5,7,2,1.427115189,0.407747197,1,1,3,5,2,1.248093191,0.499237276,10,2.038735984,9,4,0,0,0,#DIV/0!,258,200,58,14.47788102,64.40160865,49.92372764,56.33187773,59,14.72749965,22.86821705,19,3.873598369,0.052631579,0,0,#DIV/0!,0.748214286
Bennett Hambrook,3,4,2,2,3.539823009,3.539823009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.769911504,1,0,0,0,0,#DIV/0!,13,34,-21,-47.42785445,29.36010038,76.78795483,27.65957447,3,6.775407779,23.07692308,1,1.769911504,0,0,0,#DIV/0!,-0.125
Jon Stimola,3,2,0,2,5.568445476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-2.784222738,0,1,0,0,0,#DIV/0!,24,27,-3,-8.612440191,68.89952153,77.51196172,47.05882353,2,5.741626794,8.333333333,2,5.568445476,0,0,0,#DIV/0!,0.05
Ian Chen,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.853759011,1,0,0,0,0,#DIV/0!,24,32,-8,-15.44235925,46.32707775,61.769437,42.85714286,1,1.930294906,4.166666667,1,1.853759011,0,0,0,#DIV/0!,-0.058333333
Xavier Morin,2,0,4,-4,-12.8342246,12.8342246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-3.20855615,0,1,0,0,0,#DIV/0!,13,14,-1,-3.237410072,42.08633094,45.32374101,48.14814815,1,3.237410072,7.692307692,2,6.417112299,0,0,0,#DIV/0!,-0.3625
Brandon Willett,14,12,4,8,1.819905213,0.909952607,8,4,1,13,12,2.957345972,2.72985782,5,2,0,7,7,2.402975112,2.402975112,9,2.047393365,10,1,0,0,0,#DIV/0!,211,184,27,9.268618289,72.43253552,63.16391723,53.41772152,67,22.99990464,31.7535545,41,9.327014218,0.195121951,77,59,56.61764706,1.318214286
Rory Gagnon,14,8,8,0,0,2.076423937,3,6,0,9,9,2.335976929,2.335976929,2,3,0,5,5,1.791936287,1.791936287,-3,-0.778658976,5,7,0,0,0,#DIV/0!,186,156,30,10.75161772,66.66002987,55.90841215,54.38596491,65,23.29517173,34.94623656,37,9.603460707,0.081081081,1,1,50,0.894642857
Robbie Murden,11,6,8,-2,-0.646435626,2.585742503,2,1,2,5,3,1.616089064,0.969653439,1,1,2,4,2,1.935483871,0.967741935,4,1.292871252,5,1,0,0,0,#DIV/0!,145,128,17,8.225806452,70.16129032,61.93548387,53.11355311,54,26.12903226,37.24137931,32,10.34297001,0.0625,73,48,60.33057851,0.795454545
Nick Ursitti,8,8,2,6,3.398363751,1.132787917,0,1,2,3,1,1.699181875,0.566393958,0,1,2,3,1,1.97621226,0.65873742,3,1.699181875,4,1,0,0,0,#DIV/0!,100,89,11,7.246111619,65.87374199,58.62763038,52.91005291,21,13.83348582,21,8,4.531151668,0,1,2,33.33333333,0.658125
Bennett Morrison,14,9,6,3,0.4997455,0.999491,1,1,4,6,2,0.999491,0.333163667,1,0,2,3,1,0.753348214,0.251116071,6,0.999491,12,1,0,0,0,#DIV/0!,264,244,20,5.022321429,66.29464286,61.27232143,51.96850394,82,20.59151786,31.06060606,27,4.4977095,0.037037037,0,0,#DIV/0!,0.921428571
Jason Brochu,14,8,4,4,0.99536877,0.99536877,5,1,1,7,6,1.741895348,1.493053155,4,0,0,4,4,1.406799531,1.406799531,1,0.248842193,7,5,0,0,0,#DIV/0!,183,169,14,4.923798359,64.36107855,59.43728019,51.98863636,72,25.32239156,39.3442623,33,8.211792355,0.151515152,131,81,61.79245283,0.892857143
Truman Landowski,11,6,4,2,0.638015064,1.276030128,2,1,0,3,3,0.957022596,0.957022596,0,1,0,1,1,0.542822678,0.542822678,3,0.957022596,5,3,0,0,0,#DIV/0!,109,118,-9,-4.885404101,59.16767189,64.053076,48.01762115,32,17.37032569,29.35779817,18,5.742135578,0.111111111,6,7,46.15384615,0.430909091
